epoch,train_loss,val_loss_proxy,val_accuracy,val_precision,val_recall,val_f1,val_roc_auc,val_average_precision
1,0.5380366742610931,,0.31521739130434784,0.0,0.0,0.0,0.7088122605363985,0.8154045351261985
2,0.4544248878955841,,0.45652173913043476,0.8421052631578947,0.25396825396825395,0.3902439024390244,0.7192118226600984,0.8280443478258119
3,0.41495807965596515,,0.5434782608695652,0.8181818181818182,0.42857142857142855,0.5625,0.7285166940339354,0.8343489041929095
4,0.4123791108528773,,0.6304347826086957,0.8222222222222222,0.5873015873015873,0.6851851851851852,0.7389162561576353,0.8376869773934563
5,0.3980334202448527,,0.6630434782608695,0.8333333333333334,0.6349206349206349,0.7207207207207207,0.7569786535303776,0.8248188718847477
6,0.39299560089906055,,0.6956521739130435,0.8571428571428571,0.6666666666666666,0.75,0.7739463601532567,0.8601251394394243
7,0.37155838310718536,,0.6956521739130435,0.8571428571428571,0.6666666666666666,0.75,0.7887246852764095,0.8645387634009287
8,0.3857601384321849,,0.7934782608695652,0.8548387096774194,0.8412698412698413,0.848,0.8007662835249042,0.8561498451391161
9,0.371642271677653,,0.8043478260869565,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8029556650246304,0.8575185452537932
10,0.37140784164269763,,0.8043478260869565,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8029556650246306,0.8498642887330753
11,0.3633436361948649,,0.7934782608695652,0.84375,0.8571428571428571,0.8503937007874016,0.8122605363984674,0.8631800387860913
12,0.3486923774083455,,0.8043478260869565,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8182813355227149,0.8657410425438901
13,0.3595617711544037,,0.7934782608695652,0.84375,0.8571428571428571,0.8503937007874016,0.8330596606458676,0.8813623899324421
14,0.3589544842640559,,0.8804347826086957,0.8714285714285714,0.9682539682539683,0.9172932330827067,0.8368910782703886,0.8770088694484208
15,0.3459225744009018,,0.8695652173913043,0.8695652173913043,0.9523809523809523,0.9090909090909091,0.8336070060207991,0.8780291489677519
16,0.3561672071615855,,0.8260869565217391,0.8405797101449275,0.9206349206349206,0.8787878787878788,0.8215654077723042,0.8765572905070678
17,0.33757680157820386,,0.8695652173913043,0.8591549295774648,0.9682539682539683,0.9104477611940298,0.8297755883962781,0.8696482806833201
18,0.3352496375640233,,0.8804347826086957,0.8714285714285714,0.9682539682539683,0.9172932330827067,0.8303229337712097,0.8850764565208373
19,0.33727122843265533,,0.8369565217391305,0.8529411764705882,0.9206349206349206,0.8854961832061069,0.8221127531472359,0.8840906755449185
20,0.3401172657807668,,0.8586956521739131,0.8571428571428571,0.9523809523809523,0.9022556390977443,0.8418171866447728,0.8861926252520265
21,0.33365584909915924,,0.8695652173913043,0.8591549295774648,0.9682539682539683,0.9104477611940298,0.8390804597701149,0.8859017266806852
22,0.32579609254995984,,0.8695652173913043,0.8591549295774648,0.9682539682539683,0.9104477611940298,0.8412698412698413,0.8845777512665511
23,0.3229462578892708,,0.8586956521739131,0.8571428571428571,0.9523809523809523,0.9022556390977443,0.8314176245210728,0.8818338791420666
24,0.3327791939179103,,0.8478260869565217,0.8656716417910447,0.9206349206349206,0.8923076923076924,0.8489326765188834,0.8943290439130847
25,0.3199368665615718,,0.8369565217391305,0.8529411764705882,0.9206349206349206,0.8854961832061069,0.8440065681444991,0.8908668165116598
26,0.31442366788784665,,0.8804347826086957,0.8823529411764706,0.9523809523809523,0.916030534351145,0.8418171866447728,0.8818500438008989
27,0.32590621213118237,,0.8804347826086957,0.8823529411764706,0.9523809523809523,0.916030534351145,0.8396278051450465,0.8772046194340382
28,0.288951317469279,,0.8695652173913043,0.8805970149253731,0.9365079365079365,0.9076923076923077,0.8489326765188834,0.8905174759217669
29,0.3238316824038823,,0.8695652173913043,0.8805970149253731,0.9365079365079365,0.9076923076923077,0.842911877394636,0.8836447704044357
30,0.30404766897360486,,0.8586956521739131,0.8676470588235294,0.9365079365079365,0.9007633587786259,0.8396278051450465,0.8853215731733266
31,0.30422523617744446,,0.8804347826086957,0.8939393939393939,0.9365079365079365,0.9147286821705426,0.836343732895457,0.8662679097009234
32,0.3175300757090251,,0.8478260869565217,0.8769230769230769,0.9047619047619048,0.890625,0.8434592227695676,0.8835487712350807
33,0.2973392407099406,,0.8260869565217391,0.8405797101449275,0.9206349206349206,0.8787878787878788,0.8352490421455938,0.8706156384067893
34,0.3031933307647705,,0.8478260869565217,0.8656716417910447,0.9206349206349206,0.8923076923076924,0.8461959496442254,0.8740386572924088
35,0.2966413050889969,,0.8586956521739131,0.8676470588235294,0.9365079365079365,0.9007633587786259,0.8478379857690203,0.8908092574731574
36,0.29649082322915393,,0.8586956521739131,0.8676470588235294,0.9365079365079365,0.9007633587786259,0.8451012588943623,0.8673228680885297
37,0.27873694896698,,0.8695652173913043,0.8695652173913043,0.9523809523809523,0.9090909090909091,0.8423645320197044,0.8656314500918056
38,0.2925221025943756,,0.8695652173913043,0.8695652173913043,0.9523809523809523,0.9090909090909091,0.8412698412698412,0.8662659787662217
39,0.2699401726325353,,0.8804347826086957,0.8939393939393939,0.9365079365079365,0.9147286821705426,0.8456486042692938,0.8680040935460913
40,0.28173747410376865,,0.8369565217391305,0.875,0.8888888888888888,0.8818897637795275,0.8308702791461412,0.8797712800368929
41,0.29244054357210797,,0.8586956521739131,0.8787878787878788,0.9206349206349206,0.8992248062015504,0.8243021346469622,0.8582526947298372
42,0.2722787484526634,,0.8695652173913043,0.8805970149253731,0.9365079365079365,0.9076923076923077,0.8390804597701149,0.8666509171906964
43,0.26460167268912,,0.8804347826086957,0.8939393939393939,0.9365079365079365,0.9147286821705426,0.8472906403940885,0.8874567357492396
44,0.26996277024348575,,0.8695652173913043,0.8923076923076924,0.9206349206349206,0.90625,0.8467432950191571,0.8935360261402603
45,0.28231323262055713,,0.8804347826086957,0.8939393939393939,0.9365079365079365,0.9147286821705426,0.8445539135194307,0.8704608814832313
46,0.2985362460215886,,0.8586956521739131,0.890625,0.9047619047619048,0.8976377952755905,0.8390804597701149,0.8895224348178332
47,0.2833966414133708,,0.8586956521739131,0.8787878787878788,0.9206349206349206,0.8992248062015504,0.8401751505199782,0.8650767675371471
48,0.27005444715420407,,0.8369565217391305,0.875,0.8888888888888888,0.8818897637795275,0.8357963875205254,0.8879671072022792
49,0.2838684568802516,,0.8369565217391305,0.875,0.8888888888888888,0.8818897637795275,0.8336070060207991,0.8854908503363066
50,0.26360659052928287,,0.8586956521739131,0.8787878787878788,0.9206349206349206,0.8992248062015504,0.8303229337712097,0.8619755906741402
51,0.2565149590373039,,0.8478260869565217,0.8769230769230769,0.9047619047619048,0.890625,0.8319649698960043,0.8668212079158328
52,0.287912721435229,,0.8369565217391305,0.8870967741935484,0.873015873015873,0.88,0.8352490421455938,0.885902058436755
53,0.2727441613872846,,0.8478260869565217,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8440065681444991,0.8932871400912499
54,0.27559226254622143,,0.8478260869565217,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8385331143951834,0.8874942591058186
