policy,tasks,accepted,incorrectly_accepted,correctly_accepted,residual_hallucination_rate_pct,autonomous_correct_completion_pct,mean_checked_candidates,mean_verification_cost_proxy
L0 only / zero-shot,46,40,17,23,42.5,50.0,3.5434782608695654,3.5434782608695654
L0+L1 tests,46,40,16,24,40.0,52.17391304347826,3.630434782608696,18.152173913043477
No differential: L0+L1+L3,46,40,10,30,25.0,65.21739130434783,3.869565217391304,75.69565217391305
No invariants: L0+L1+L2,46,40,6,34,15.0,73.91304347826087,3.9130434782608696,51.84782608695652
"Full cascade, no risk order",46,40,4,36,10.0,78.26086956521739,4.173913043478261,91.82608695652173
Full RefactorGuard-SC,46,40,0,40,0.0,86.95652173913044,3.5434782608695654,82.58695652173913
